Ticker,Company,Industry,Institutional Ownership,Market Cap ($M),PB Ratio,PS Ratio,Operating Margin %,Net Margin %,Price,Avg Daily TradeVolume
JOUT,Johnson Outdoors Inc,Travel & Leisure,82.2,764.79,2.35,1.35,11.34,9.14,$75.91 ,"40,910"
JT,Jianpu Technology Inc,Credit Services,18.76,238.28,1.37,0.8,-8.73,-16.25,$1.41 ,"367,340"
JW.A,John Wiley & Sons Inc,Media - Diversified,99.25,"2,736.50",2.36,1.53,11.6,8,$48.71 ,"288,349"
JWN,Nordstrom Inc,Retail - Cyclical,96.41,"6,388.69",7.5,0.42,5.29,3.57,$41.15 ,"3,547,907"
K,Kellogg Co,Consumer Packaged Goods,99.99,"23,419.54",8.57,1.73,10,5.35,$68.66 ,"1,613,872"
KAI,Kadant Inc,Industrial Products,7.77,"1,192.16",2.93,1.77,13.28,9,$105.76 ,"58,199"
KALU,Kaiser Aluminum Corp,Metals & Mining,87.19,"1,776.98",2.36,1.18,9.97,6.27,$111.91 ,"113,958"
KAMN,Kaman Corp,Aerospace & Defense,97.16,"1,863.38",2.36,0.87,6.19,8.92,$66.88 ,"156,134"
KAR,KAR Auction Services Inc,Retail - Cyclical,87.32,"2,784.09",1.69,0.66,15.76,5.38,$21.62 ,"2,478,604"
KBAL,Kimball International Inc,"Furnishings, Fixtures & Appliances",91.73,759.81,3.4,0.99,7.24,5.14,$20.69 ,"89,148"
KBH,KB Home,Homebuilding & Construction,56.85,"2,987.88",1.31,0.75,6.93,5.58,$33.80 ,"1,413,071"
KBR,KBR Inc,Construction,60.97,"4,346.37",2.44,0.78,5.64,3.46,$30.67 ,"1,316,496"
KDP,Keurig Dr Pepper Inc,Beverages - Non-Alcoholic,34.74,"40,543.62",1.77,3.7,20.11,10.13,$28.82 ,"2,074,287"
KE,Kimball Electronics Inc,Industrial Products,85.7,456.1,1.23,0.37,3.75,2.69,$18.10 ,"52,974"
KELYA,Kelly Services Inc,Business Services,90.45,868.94,0.71,0.16,1.65,1.32,$22.28 ,"146,370"
KEM,Kemet Corp,Hardware,95.82,"1,554.01",2.4,1.16,12.61,11.56,$26.75 ,"2,252,143"
KEP,Korea Electric Power Corp,Utilities - Regulated,4.37,"15,124.70",0.26,0.3,-0.88,-3.08,$11.78 ,"112,785"
KEX,Kirby Corp,Transportation,65.27,"5,312.51",1.59,1.83,9.98,3.96,$88.62 ,"337,610"
KEYS,Keysight Technologies Inc,Hardware,23.08,"19,532.61",6.46,4.6,16.52,14.43,$103.65 ,"1,381,861"
KFRC,Kforce Inc,Business Services,99.23,915.27,5.01,0.69,5.73,9.14,$40.24 ,"144,991"
KFY,Korn Ferry,Business Services,20.73,"2,335.16",1.85,1.18,12.43,9.1,$42.28 ,"389,230"
KGC,Kinross Gold Corp,Metals & Mining,97.59,"5,848.99",1.21,1.76,12.65,5.13,$4.67 ,"12,124,663"
KHC,The Kraft Heinz Co,Consumer Packaged Goods,72.73,"38,625.32",0.76,1.52,19.87,-42.69,$31.63 ,"7,461,415"
KIDS,OrthoPediatrics Corp,Medical Devices & Instruments,66.6,685.8,7.95,9.5,-11.61,-15.8,$45.82 ,"87,587"
KIM,Kimco Realty Corp,REITs,69.92,"8,638.88",1.77,7.51,38.56,33.95,$20.46 ,"3,674,616"
KKR,KKR & Co Inc,Asset Management,64.65,"24,943.74",2.58,5.47,19.63,36.81,$29.28 ,"2,826,508"
KL,Kirkland Lake Gold Ltd,Metals & Mining,82.45,"9,333.76",5.76,7.44,56.19,39.85,$44.31 ,"1,695,900"
KLIC,Kulicke & Soffa Industries Inc,Semiconductors,94.98,"1,716.89",2.25,3.32,4,2.16,$27.24 ,"401,939"
KMDA,Kamada Ltd,Biotechnology,19.57,278.46,2.13,1.9,22.8,24.16,$6.86 ,"70,660"
KMI,Kinder Morgan Inc,Oil & Gas,86.83,"48,017.27",1.44,3.51,29.98,15.21,$21.20 ,"12,765,069"
KMT,Kennametal Inc,Industrial Products,85.4,"3,094.71",2.38,1.35,12.13,8.31,$37.35 ,"859,188"
KMX,CarMax Inc,Vehicles & Parts,87.97,"14,582.69",4.01,0.75,3.89,4.4,$89.03 ,"1,160,108"
KNDI,Kandi Technologies Group Inc,Vehicles & Parts,6.11,250.89,1.14,1.99,14.81,-3.17,$4.75 ,"134,821"
KNL,Knoll Inc,Industrial Products,94.74,"1,241.01",3.07,0.89,8.78,5.79,$25.39 ,"255,387"
KNOP,KNOT Offshore Partners LP,Transportation,51.31,646.36,0.94,2.3,45.76,15.53,$19.77 ,"87,509"
KNX,Knight-Swift Transportation Holdings Inc,Transportation,98.48,"6,122.78",1.08,1.24,10.7,7.8,$35.88 ,"1,554,764"
KODK,Eastman Kodak Co,Business Services,52.44,153,0.89,0.12,-7.31,13.03,$3.54 ,"212,831"
KOF,Coca-Cola Femsa SAB de CV,Beverages - Non-Alcoholic,8.39,"102,134.32",2.18,1.38,14.3,8.14,$60.77 ,"127,126"
KOP,Koppers Holdings Inc,Chemicals,90.03,805.8,8.05,0.45,7.41,2.4,$38.93 ,"174,556"
KOS,Kosmos Energy Ltd,Oil & Gas,99.84,"2,248.49",2.52,1.68,17.88,12.25,$5.60 ,"6,692,667"
KR,The Kroger Co,Retail - Defensive,74.11,"23,128.97",2.62,0.19,1.74,1.31,$28.89 ,"7,678,103"
KRA,Kraton Corp,Chemicals,54.14,785,1.02,0.44,6.66,4.89,$24.76 ,"213,997"
KRG,Kite Realty Group Trust,REITs,74.26,"1,598.94",1.23,4.89,23.51,-14.39,$19.04 ,"516,687"
KRNT,Kornit Digital Ltd,Industrial Products,99.7,"1,369.13",4.15,7.75,0.33,4.75,$33.91 ,"199,372"
KRO,Kronos Worldwide Inc,Chemicals,26.12,"1,580.95",1.86,0.94,9.48,5.96,$13.67 ,"376,590"
KRP,Kimbell Royalty Partners LP,Oil & Gas,35.53,828.43,1.9,2.95,25.12,-17.11,$16.88 ,"130,334"
KRUS,Kura Sushi USA Inc,Restaurants,28.74,233.97,3.75,2.39,2.59,2.27,$28.07 ,"57,585"
KSS,Kohl's Corp,Retail - Cyclical,12.6,"8,014.72",1.53,0.41,6.51,3.5,$51.19 ,"4,301,234"
KSU,Kansas City Southern,Transportation,99.66,"15,220.77",3.13,5.46,36.34,20.24,$153.56 ,"969,167"
KT,KT Corp,Telecommunication Services,38.29,"5,736.39",0.49,0.37,3.73,2.32,$11.70 ,"888,721"
KTOS,Kratos Defense & Security Solutions Inc,Aerospace & Defense,99.96,"1,901.17",3.35,2.82,6.01,2.04,$17.89 ,"921,272"
KVHI,KVH Industries Inc,Hardware,80.12,204.86,1.34,1.12,-9.33,19.8,$11.32 ,"41,578"
KW,Kennedy-Wilson Holdings Inc,Real Estate,92.78,"3,176.62",2.58,5.19,-4.18,15.96,$22.30 ,"290,580"
KWR,Quaker Chemical Corp,Chemicals,96.43,"2,916.43",2.41,2.43,9.99,2.54,$164.47 ,"114,269"
LAD,Lithia Motors Inc,Vehicles & Parts,87.04,"3,445.62",2.54,0.28,3.82,2.13,$148.23 ,"196,432"
LAMR,Lamar Advertising Co,REITs,54.16,"8,919.32",7.64,5.17,29.18,21.24,$88.81 ,"418,804"
LANC,Lancaster Colony Corp,Consumer Packaged Goods,85.96,"4,389.06",5.85,3.31,13.55,11.46,$159.69 ,"108,862"
LAND,Gladstone Land Corp,REITs,22.29,268.62,1.07,6.75,46.24,-0.62,$12.83 ,"116,734"
LASR,nLight Inc,Semiconductors,98.58,754.79,3.39,4.24,0.71,0.11,$19.99 ,"314,311"
LAUR,Laureate Education Inc,Education,72.39,"3,924.18",1.38,1.19,9.55,28.34,$17.95 ,"1,652,423"
LAWS,Lawson Products Inc,Industrial Distribution,85.77,472.19,4.19,1.34,4.8,3.48,$52.69 ,"16,531"
LAZ,Lazard Ltd,Capital Markets,19.89,"4,183.38",6.9,1.79,16.63,12.29,$39.83 ,"680,969"
LBRT,Liberty Oilfield Services Inc,Oil & Gas,6.25,"1,258.01",2.38,0.63,7.7,3.4,$11.18 ,"987,871"
LBTYA,Liberty Global PLC,Media - Diversified,26.03,"13,752.13",1.03,1.44,7.87,112.38,$22.42 ,"1,929,842"
LBTYK,Liberty Global PLC,Media - Diversified,61.87,"13,741.64",1.04,1.44,7.87,112.38,$21.41 ,"3,399,511"
LCI,Lannett Co Inc,Drug Manufacturers,95.64,366.99,1.1,0.56,16.06,0.52,$9.10 ,"1,068,815"
LCII,LCI Industries Inc,Vehicles & Parts,96.46,"2,714.23",3.48,1.15,8.19,5.88,$108.45 ,"184,991"
LCUT,Lifetime Brands Inc,"Furnishings, Fixtures & Appliances",57.8,135.61,0.54,0.18,3.64,-2.7,$6.38 ,"26,491"
LDL,Lydall Inc,Vehicles & Parts,99.35,359.4,0.95,0.42,5.02,0.84,$20.51 ,"145,879"
LDOS,Leidos Holdings Inc,Software,97.39,"13,948.26",4.28,1.34,7.32,6.25,$98.53 ,"1,041,356"
LE,Lands' End Inc,Retail - Cyclical,67.45,592.43,1.83,0.42,2.59,0.71,$18.30 ,"309,138"
LEA,Lear Corp,Vehicles & Parts,81.01,"8,465.79",2.03,0.44,6.41,4.21,$140 ,"833,275"
LEAF,Leaf Group Ltd,Interactive Media,91.39,104.79,2.09,0.66,-17.21,-17.04,$4 ,"44,119"
LECO,Lincoln Electric Holdings Inc,Industrial Products,99.95,"5,976.65",7.35,2.05,12.97,10.5,$97.74 ,"309,257"
LEG,Leggett & Platt Inc,"Furnishings, Fixtures & Appliances",99.44,"6,706.46",5.34,1.48,10.15,6.45,$50.96 ,"1,459,087"
LEGH,Legacy Housing Corp,Homebuilding & Construction,25,410.39,1.89,2.53,20.61,15.45,$16.60 ,"26,322"
LEJU,Leju Holdings Ltd,Real Estate,1.26,276.97,1.12,0.47,1.34,1.43,$2.04 ,"74,056"
LEN,Lennar Corp,Homebuilding & Construction,93.29,"17,369.75",1.16,0.83,10.84,9.06,$56.02 ,"2,928,095"
LEN.B,Lennar Corp,Homebuilding & Construction,4.71,"17,383.63",1.15,0.84,10.84,9.06,$44.84 ,"51,202"
LEVI,Levi Strauss & Co,Manufacturing - Apparel & Accessories,15.38,"7,720.80",5.29,1.36,9.26,6.85,$19.66 ,"1,115,451"
LFUS,Littelfuse Inc,Hardware,22.49,"4,670.62",3.16,3.05,13.53,9.51,$191.75 ,"123,254"
LFVN,Lifevantage Corp,Consumer Packaged Goods,59.18,213.6,7.24,1.03,4.88,3.65,$15.28 ,"95,280"
LGF.A,Lions Gate Entertainment Corp,Media - Diversified,40.48,"2,221.70",0.75,0.56,4.55,-4.86,$10.49 ,"1,303,794"
LGF.B,Lions Gate Entertainment Corp,Media - Diversified,65.42,"2,201.43",0.74,0.56,4.55,-4.86,$9.78 ,"947,915"
LGIH,LGI Homes Inc,Homebuilding & Construction,85.48,"1,636.32",2.09,1.09,12,9.43,$71.30 ,"283,405"
LH,Laboratory Corp of America Holdings,Medical Diagnostics & Research,10.25,"16,326.39",2.27,1.47,11.95,6.63,$168.14 ,"558,472"
LHCG,LHC Group Inc,Healthcare Providers & Services,94.17,"4,288.01",3.01,2.06,8.01,4.59,$136.08 ,"198,220"
LHX,L3Harris Technologies Inc,Aerospace & Defense,80.4,"44,568.85",1.97,3.18,10.62,12.02,$201.61 ,"1,425,665"
LILA,Liberty Latin America Ltd,Telecommunication Services,24.8,"3,582.33",1.18,0.92,14.66,-9.25,$19.70 ,"196,181"
LILAK,Liberty Latin America Ltd,Telecommunication Services,81.31,"3,589.61",1.19,0.92,14.66,-9.25,$19.74 ,"548,361"
LIN,Linde PLC,Chemicals,69.68,"114,284.17",2.34,4.14,8.97,17.59,$212.75 ,"1,269,909"
LIND,Lindblad Expeditions Holdings Inc,Travel & Leisure,72.28,830.23,6.48,2.4,9.06,3.9,$16.73 ,"191,658"
LINX,Linx SA,Software,12.32,"1,529.68",3.25,7.73,11.09,6.24,$8.52 ,"158,934"
LIQT,LiqTech International Inc,Industrial Products,29.88,105.82,4.52,3.43,-3.11,-0.88,$5.15 ,"240,882"
LITE,Lumentum Holdings Inc,Hardware,96.68,"6,141.25",3.94,3.57,2.63,-2.18,$79.55 ,"1,582,936"
LIVN,LivaNova PLC,Medical Devices & Instruments,75.64,"3,637.29",2.43,3.32,-22.72,-20.35,$75.15 ,"391,380"
LKQ,LKQ Corp,Vehicles & Parts,72.46,"10,998.91",2.28,0.9,7.67,3.5,$35.89 ,"2,422,736"
LL,Lumber Liquidators Holdings Inc,Retail - Cyclical,98.96,286.79,1.99,0.27,-5.29,-5.85,$9.99 ,"1,032,271"
LLNW,Limelight Networks Inc,Software,99.92,483.58,3.07,2.64,-12.76,-12.84,$4.15 ,"901,567"
LM,Legg Mason Inc-LeggMason RETAIL,Asset Management,98.65,"3,128.38",0.84,1.08,14.57,-1.93,$36.04 ,"594,089"
LMAT,LeMaitre Vascular Inc,Medical Devices & Instruments,99.55,717.09,5.04,6.3,18.93,16.76,$35.87 ,"123,539"
LMNR,Limoneira Co,Consumer Packaged Goods,78.2,343.89,1.64,2.3,-6.64,-4.08,$19.35 ,"44,142"
LMNX,Luminex Corp,Medical Devices & Instruments,99.4,"1,044.30",2.21,3.17,-4.33,-2.93,$23.18 ,"273,505"
LMRK,Landmark Infrastructure Partners LP,Real Estate,20.9,420.35,1.13,7.36,63.74,30.25,$16.58 ,"96,900"
LN,LINE Corp,Interactive Media,4.1,"11,649.20",7.72,5.71,-19.29,-14.2,$48.66 ,"208,395"
LNDC,Landec Corp,Consumer Packaged Goods,97.33,338.45,1.27,0.57,0.27,-0.8,$11.61 ,"113,859"
LNN,Lindsay Corp,Farm & Heavy Construction Machinery,38.13,"1,041.32",3.86,2.35,1.38,0.49,$96.30 ,"73,419"
LNT,Alliant Energy Corp,Utilities - Regulated,99.84,"13,031.91",2.63,3.52,19.93,14.86,$54.22 ,"1,418,843"
LNTH,Lantheus Holdings Inc,Medical Diagnostics & Research,98.94,806.94,7.97,2.38,16.31,10.02,$20.56 ,"380,666"
LOCO,El Pollo Loco Holdings Inc,Restaurants,96.91,524.99,2.19,1.31,8.08,-0.46,$15.05 ,"406,516"
LOGI,Logitech International SA,Hardware,69.13,"7,809.24",6.71,2.75,9.9,9.57,$46.90 ,"149,226"
LOGM,LogMeIn Inc,Software,72.57,"4,182.73",1.52,3.47,2.34,1.2,$86.10 ,"812,035"
LOMA,Loma Negra Cia Industria Argentina SA,Building Materials,52.67,977.44,2.95,2.94,20.67,13.14,$8.20 ,"326,581"
LOPE,Grand Canyon Education Inc,Education,98.07,"4,725.56",3.43,6.39,35.44,34.73,$97.99 ,"807,086"
LOV,Spark Networks SE,Interactive Media,10.68,106.12,2.84,0.45,-0.41,-6.77,$4.08 ,"207,437"
LOVE,The Lovesac Co,"Furnishings, Fixtures & Appliances",89.99,209.18,2.48,1.01,-6.28,-5.93,$14.39 ,"451,562"
LPG,Dorian LPG Ltd,Oil & Gas,77.96,835.87,0.9,3.46,30.97,10.16,$15.31 ,"468,943"
LPI,Laredo Petroleum Inc,Oil & Gas,99.39,678.2,0.62,0.79,27.82,5.85,$2.86 ,"5,025,740"
LPL,LG Display Co Ltd,Hardware,4.25,"4,859.13",0.44,0.23,-2.75,-3.68,$6.79 ,"326,237"
LPX,Louisiana-Pacific Corp,Construction,98.63,"3,549.44",2.93,1.64,4.26,2.65,$30.22 ,"1,337,709"
LQDT,Liquidity Service Inc,Retail - Cyclical,94.13,199.58,1.69,0.86,-8.57,-8.5,$5.89 ,"79,830"
LRCX,Lam Research Corp,Semiconductors,27.86,"42,786.68",8.58,4.85,25.4,22.38,$294.92 ,"1,585,970"
LRN,K12 Inc,Education,99.89,816.65,1.3,0.79,3.9,3.5,$19.94 ,"316,695"
LSCC,Lattice Semiconductor Corp,Semiconductors,18.76,"2,668.49",8.63,6.74,14.61,5.6,$19.98 ,"1,264,624"
LSI,Life Storage Inc,REITs,64.15,"5,026.34",2.34,8.87,39.29,54.38,$107.73 ,"425,715"
LSTR,Landstar System Inc,Transportation,23.36,"4,461.66",5.89,1.06,7.34,5.76,$113.06 ,"224,512"
LSXMA,Liberty SiriusXM Group,Media - Diversified,34.43,"15,161.92",1.42,2.17,23.42,6.83,$48.20 ,"740,908"
LSXMK,Liberty SiriusXM Group,Media - Diversified,65.5,"15,193.39",1.42,2.17,23.42,6.83,$47.92 ,"716,738"
LTHM,Livent Corp,Chemicals,31.33,"1,280.25",2.34,2.97,24.2,17.75,$8.77 ,"2,080,554"
LTM,LATAM Airlines Group SA,Transportation,3.43,"6,355.18",2.36,0.7,5.73,2.29,$10.48 ,"903,321"
LTRPA,Liberty TripAdvisor Holdings Inc,Interactive Media,99.57,551.51,1.61,0.35,8.33,0.57,$7.34 ,"546,418"
LTS,Ladenburg Thalmann Financial Services Inc,Capital Markets,34.29,516.11,2.06,0.37,10.74,2.23,$3.47 ,"1,303,132"
LUNA,Luna Innovations Inc,Hardware,32.88,224.44,3.47,3.76,3.13,6.4,$7.44 ,"248,340"
LUV,Southwest Airlines Co,Transportation,97.46,"28,491.80",2.98,1.33,13.89,10.9,$54.90 ,"2,983,149"
LX,LexinFintech Holdings Ltd,Credit Services,24.07,"2,283.06",2.84,1.69,27.05,26.99,$13 ,"1,221,235"
LXFR,Luxfer Holdings PLC,Industrial Products,99.35,510.42,2.84,1.13,10.75,-0.66,$18.62 ,"132,158"
LXP,Lexington Realty Trust,REITs,64.31,"2,681.71",1.74,7.61,32.59,66.8,$10.55 ,"1,949,841"
LXRX,Lexicon Pharmaceuticals Inc,Biotechnology,13.95,436.78,2.64,1.44,62.02,49.78,$4.11 ,"1,594,651"
LXU,LSB Industries Inc,Chemicals,94.16,126.65,0.48,0.33,-2.61,-12.63,$4.40 ,"151,666"
LYB,LyondellBasell Industries NV,Chemicals,99.26,"31,530.67",3.99,0.97,11.61,9.82,$94.57 ,"1,852,891"
LYTS,LSI Industries Inc,Hardware,80.11,159.25,1.29,0.49,-0.09,-4.09,$6.10 ,"62,406"
LZB,La-Z-Boy Inc,"Furnishings, Fixtures & Appliances",99.57,"1,469.88",2.12,0.84,7.35,3.98,$31.69 ,"327,562"
M,Macy's Inc,Retail - Cyclical,80.71,"5,110.30",0.83,0.2,4.83,3.79,$16.54 ,"19,198,493"
MAA,Mid-America Apartment Communities Inc,REITs,68.37,"14,763.55",2.46,9.1,26.02,16.37,$129.43 ,"619,915"
MAC,Macerich Co,REITs,96.93,"3,715.27",1.38,3.99,23.09,8.76,$26.30 ,"2,715,288"
MAN,ManpowerGroup Inc,Business Services,23.61,"5,714.57",2.12,0.28,3.49,2.3,$96.92 ,"352,098"
MANT,Mantech International Corp,Software,71.94,"3,232.21",2.22,1.52,6.09,4.42,$80.60 ,"198,996"
MANU,Manchester United PLC,Travel & Leisure,25.49,"3,230.56",6.36,4.04,5.24,2.16,$19.63 ,"96,007"
MASI,Masimo Corp,Medical Devices & Instruments,83.59,"8,498.42",7.66,9.88,23.43,20.83,$158.52 ,"277,148"
MATW,Matthews International Corp,Conglomerates,97.27,"1,184.33",1.66,0.77,5.72,-2.47,$37.79 ,"136,680"
MATX,Matson Inc,Transportation,99.18,"1,756.25",2.18,0.8,4.87,3.94,$40.97 ,"156,847"
MAXR,Maxar Technologies Inc,Hardware,98.65,868.7,1.23,0.44,-1.22,-45.15,$14.54 ,"2,010,036"
MBIO,Mustang Bio Inc,Biotechnology,36.31,157.39,2.51,0,"83,724","83,900",$3.88 ,"302,768"
MBUU,Malibu Boats Inc,Vehicles & Parts,20.85,843.96,4.06,1.19,14.2,9.64,$41.24 ,"200,537"
MC,Moelis & Co,Capital Markets,93.62,"1,652.37",4,2.44,21.14,16.14,$33.48 ,"455,537"
MCFT,MasterCraft Boat Holdings Inc,Vehicles & Parts,8.04,292.62,3.59,0.61,13.54,4.46,$15.52 ,"191,834"
MCHP,Microchip Technology Inc,Semiconductors,17.04,"25,314.90",4.71,4.96,15.32,7.15,$105.93 ,"2,141,876"
MCHX,Marchex Inc,Media - Diversified,71.52,168.07,1.78,1.97,-5.62,-4.24,$3.90 ,"120,326"
MCK,McKesson Corp,Medical Distribution,14.11,"25,101.98",3.87,0.12,1.39,-0.29,$139.31 ,"1,462,083"
MCRI,Monarch Casino & Resort Inc,Travel & Leisure,86.66,869.04,2.62,3.61,16.65,13.32,$48.06 ,"45,653"
MCRN,Milacron Holdings Corp,Industrial Products,93.24,"1,184.32",2.25,1.04,7.27,3.05,$16.80 ,"994,957"
MCS,Marcus Corp,Media - Diversified,98.01,"1,008.12",1.62,1.26,8.8,5.44,$32.60 ,"177,771"
MD,Mednax Inc,Healthcare Providers & Services,85.32,"2,306.42",1.57,0.64,11.36,-39.22,$27.36 ,"1,357,231"
MDC,M.D.C. Holdings Inc,Homebuilding & Construction,96.29,"2,373.13",1.39,0.79,8.23,6.53,$37.91 ,"650,185"
MDLZ,Mondelez International Inc,Consumer Packaged Goods,98.7,"78,974.38",2.96,3.12,15.67,15.42,$54.85 ,"6,080,511"
MDP,Meredith Corp,Media - Diversified,99.96,"1,526.72",1.6,0.5,13.46,1.13,$33.01 ,"662,904"
MDRX,Allscripts Healthcare Solutions Inc,Healthcare Providers & Services,83.93,"1,604.17",1.27,0.94,1.69,12,$9.88 ,"1,804,264"
MDSO,Medidata Solutions Inc,Healthcare Providers & Services,72.04,"5,759.73",8.57,8.34,4.68,6.43,$92.22 ,"7,354,023"
MDT,Medtronic PLC,Medical Devices & Instruments,86.48,"150,899.70",2.99,4.93,21.82,15.11,$112.58 ,"3,993,862"
MDU,MDU Resources Group Inc,Building Materials,98.58,"5,869.24",2.11,1.12,9.08,6.18,$29.29 ,"1,111,289"
MEC,Mayville Engineering Co Inc,Industrial Products,40.48,184.58,0.91,0.34,0.83,-0.49,$9.35 ,"83,687"
MEDP,Medpace Holdings Inc,Medical Diagnostics & Research,89.71,"3,022.94",4.37,3.82,14.8,11.34,$83.90 ,"289,587"
MEET,The Meet Group Inc,Interactive Media,93.32,371.45,1.88,1.98,7.5,5.2,$5.18 ,"1,309,793"
MEI,Methode Electronics Inc,Hardware,19.34,"1,464.74",2.03,1.43,12.33,10.13,$39.49 ,"213,983"
MEOH,Methanex Corp,Chemicals,97.24,"2,988.85",2.11,0.96,10.89,7.78,$39.24 ,"378,403"
MERC,Mercer International Inc,Forest Products,98.59,824.3,1.39,0.49,14.14,6.34,$12.56 ,"230,288"
MESA,Mesa Air Group Inc,Transportation,87.29,304.53,0.76,0.46,18.07,6.58,$9.41 ,"396,734"
METC,Ramaco Resources Inc,Steel,78.98,140,0.83,0.61,12.94,11.56,$3.42 ,"51,270"
MFGP,Micro Focus International PLC,Software,19.37,"1,403.01",0.75,2.99,1.87,59.47,$14.28 ,"495,095"
MG,MISTRAS Group Inc,Business Services,71.92,410.02,1.47,0.55,3.59,0.56,$14.18 ,"106,819"
MGA,Magna International Inc,Vehicles & Parts,82.22,"16,943.08",1.59,0.44,6.25,4.45,$55.40 ,"797,149"
MGEE,MGE Energy Inc,Utilities - Regulated,63.69,"2,731.53",3.82,4.81,19.95,14.9,$78.79 ,"122,586"
MGIC,Magic Software Enterprises Ltd,Software,23.66,484.67,1.98,1.59,10.87,7.86,$9.84 ,"31,526"
MGLN,Magellan Health Inc,Healthcare Plans,94.54,"1,915.67",1.4,0.27,0.57,0.1,$78.29 ,"179,716"
MGM,MGM Resorts International,Travel & Leisure,99.93,"17,267.43",2.85,1.39,11.55,0.11,$33.53 ,"4,353,809"
MGP,MGM Growth Properties LLC,REITs,18.1,"9,640.40",4.39,2.37,53.57,7.73,$30.75 ,"1,463,955"
MGPI,MGP Ingredients Inc,Consumer Packaged Goods,68.17,835.52,3.82,2.21,12.69,10.04,$49.07 ,"165,514"
MGRC,McGrath RentCorp,Business Services,99.06,"1,878.92",3.04,3.43,24.87,17.02,$77.37 ,"138,135"
MGY,Magnolia Oil & Gas Corp,Oil & Gas,99.52,"3,279.84",1.83,2.88,14.84,5.96,$12.66 ,"1,202,176"
MHH,Mastech Digital Inc,Business Services,13.75,120.26,2.73,0.65,5.18,5.19,$10.90 ,"48,930"
MHK,Mohawk Industries Inc,"Furnishings, Fixtures & Appliances",97.9,"9,631.05",1.24,0.99,8.86,7.09,$134.47 ,"672,034"
MHO,M/I Homes Inc,Homebuilding & Construction,28.11,"1,115.31",1.17,0.46,7.53,4.77,$39.63 ,"276,072"
MIC,Macquarie Infrastructure Corp,Transportation,91.78,"3,737.77",1.31,2.19,16.05,8.13,$43.23 ,"561,078"
MIDD,The Middleby Corp,Industrial Products,55.74,"6,215.92",3.35,2.11,17.41,11.54,$110.72 ,"317,987"
MINI,Mobile Mini Inc,Business Services,68.32,"1,654.60",2.07,2.71,24.42,11.23,$37.50 ,"284,372"
MITK,Mitek Systems Inc,Software,82.03,313.83,2.89,3.6,7.14,-0.86,$7.68 ,"490,637"
MITT,AG Mortgage Investment Trust Inc,REITs,54.64,522.56,0.93,7.67,-25.24,28.61,$15.96 ,"194,449"
MIXT,MiX Telematics Ltd,Software,46.92,274.96,2.23,1.9,17.15,11.75,$12.47 ,"78,167"
MJCO,Majesco,Software,5.01,356.57,3.58,2.41,6.45,3.66,$8.28 ,"15,404"
MKC,McCormick & Co Inc,Consumer Packaged Goods,95.02,"22,541.17",6.51,4.18,18.06,12.94,$169.62 ,"598,967"
MKSI,MKS Instruments Inc,Hardware,98.14,"6,090.45",3.09,3.29,15.65,9.1,$111.73 ,"406,273"
MLAB,Mesa Laboratories Inc,Hardware,99.98,"1,092.12",4.78,9.8,17.75,9.45,$250.20 ,"35,688"
MLCO,Melco Resorts and Entertainment Ltd,Travel & Leisure,56.2,"11,254.24",4.96,1.96,13.96,7.8,$24.47 ,"1,553,122"
MLHR,Herman Miller Inc,Industrial Products,97.96,"2,463.91",2.92,0.94,9.17,8.05,$41.72 ,"523,421"
MLI,Mueller Industries Inc,Industrial Products,72.75,"1,827.04",2.99,0.74,7.5,4.07,$32.08 ,"230,139"
MLM,Martin Marietta Materials Inc,Building Materials,22.9,"17,418.29",3.29,3.75,18.21,12.35,$278.69 ,"582,469"
MLNX,Mellanox Technologies Ltd,Semiconductors,90.4,"6,549.01",4.23,5.36,14.58,14.03,$118 ,"437,860"
MLR,Miller Industries Inc.,Vehicles & Parts,99.54,427.73,1.73,0.53,6.19,4.81,$37.52 ,"47,908"
MMC,Marsh & McLennan Companies Inc,Insurance,96.9,"56,442.10",7.41,3.56,16.81,9.34,$111.84 ,"1,607,056"
MMI,Marcus & Millichap Inc,Real Estate,83.26,"1,459.24",3.1,1.85,12.75,10.32,$37.29 ,"150,044"
MMM,3M Co,Industrial Products,89.63,"101,548.20",9.49,3.26,20.33,15.48,$176.59 ,"2,756,105"
MMP,Magellan Midstream Partners LP,Oil & Gas,82.11,"14,165.58",5.31,4.97,36.93,36.75,$62.02 ,"862,273"
MMS,Maximus Inc,Business Services,84.91,"4,753.04",3.8,1.66,10.98,8.34,$74.29 ,"425,224"
MMSI,Merit Medical Systems Inc,Medical Devices & Instruments,88.09,"1,738.53",1.83,1.82,4.11,1.94,$31.49 ,"900,124"
MMYT,MakeMyTrip Ltd,Travel & Leisure,59.36,"2,458.28",2,4.95,-28.21,-29.59,$23.88 ,"259,609"
MNR,Monmouth Real Estate Investment Corp,REITs,47.85,"1,413.93",2.11,8.58,48.08,18.8,$14.58 ,"332,197"
MNRL,Brigham Minerals Inc,Oil & Gas,73.48,"1,171.05",1.59,8.28,36.95,20.02,$20.63 ,"377,239"
MNRO,Monro Inc,Vehicles & Parts,93.19,"2,647.74",3.62,2.17,10.41,6.48,$79.58 ,"231,404"
MNST,Monster Beverage Corp,Beverages - Non-Alcoholic,91.76,"34,347.11",8.39,8.54,33.9,26.58,$63.88 ,"2,929,793"
